2019-12-30 02:04:08.289  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_19
2019-12-30 02:04:08.291  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingDELETE_11
2019-12-30 02:04:08.298  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: jsonUsingPOST_20
2019-12-30 02:04:08.302  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_20
2019-12-30 02:04:08.305  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingDELETE_12
2019-12-30 02:04:08.313  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_21
2019-12-30 02:04:08.320  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingDELETE_13
2019-12-30 02:04:08.323  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: getUsingGET_9
2019-12-30 02:04:08.325  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: getByUserIDUsingPOST_6
2019-12-30 02:04:08.329  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: jsonUsingPOST_21
2019-12-30 02:04:08.334  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: listUsingGET_9
2019-12-30 02:04:08.337  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_22
2019-12-30 02:04:08.340  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingDELETE_14
2019-12-30 02:04:08.342  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: getByUserIDUsingPOST_7
2019-12-30 02:04:08.348  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: jsonUsingPOST_22
2019-12-30 02:04:08.351  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_23
2019-12-30 02:04:08.353  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingPOST_8
2019-12-30 02:04:08.358  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: jsonUsingPOST_23
2019-12-30 02:04:08.360  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: listUsingPOST_6
2019-12-30 02:04:08.361  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_24
2019-12-30 02:04:08.364  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingDELETE_15
2019-12-30 02:04:08.375  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: jsonUsingPOST_24
2019-12-30 02:04:08.380  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_25
2019-12-30 02:04:08.381  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingDELETE_16
2019-12-30 02:04:08.384  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: getAvgAndAllByUserIDUsingPOST_1
2019-12-30 02:04:08.388  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_26
2019-12-30 02:04:08.392  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingPOST_9
2019-12-30 02:04:08.394  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: getListByUserIDUsingPOST_1
2019-12-30 02:04:08.404  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: jsonUsingPOST_25
2019-12-30 02:04:08.406  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_27
2019-12-30 02:04:08.409  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: deleteUsingDELETE_17
2019-12-30 02:04:08.415  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: jsonUsingPOST_26
2019-12-30 02:04:08.417  INFO 19988 --- [main] .d.s.w.r.o.CachingOperationNameGenerator : Generating unique operation named: saveUsingPOST_28
